"Date" "MeanTravelTimeSeconds" "tavg" "tmin" "tmax" "prcp" "windspeed"
"1" "2016-01-02" 1441.68389662028 9.9 7.8 11.3 1.8 2
"2" "2016-01-03" 1597.9515625 7.8 5.2 9.7 6.6 2
"3" "2016-01-04" 1326.4964028777 7.4 5.8 10.9 7.1 1
"4" "2016-01-05" 1355.87219730942 7.6 5.7 10.1 0.5 0
"5" "2016-01-06" 1451.74028629857 6.5 4.8 8.3 0.3 0
"6" "2016-01-07" 1525.99074074074 7.3 3 10.8 4.6 2
"7" "2016-01-08" 1657.29947460595 5.6 0.5 9.5 5.6 1
"8" "2016-01-09" 1727.37482517483 8.6 6 10.9 0 2
"9" "2016-01-10" 1703.77170868347 6.1 5 9.1 10.9 1
"10" "2016-01-11" 1503.19301848049 6.1 4.4 7.2 11.4 1
"11" "2016-01-12" 1621.34463276836 5.5 3.2 7.2 0 2
"12" "2016-01-13" 1665.82056074766 4.7 2.3 6.8 0.5 1
"13" "2016-01-14" 1700.50249584027 3.9 2 5.5 3 2
"14" "2016-01-15" 1744.54936305732 2.9 1.1 5.6 0.3 1
"15" "2016-01-16" 1898.76470588235 2.3 -1.1 4.9 0 0
"16" "2016-01-17" 1808.24757952974 2.4 0.3 4.2 1.8 1
"17" "2016-01-18" 1541.57509881423 3.2 -0.4 5 2 1
"18" "2016-01-19" 1622.78759398496 0.7 -2.7 4.8 0 0
"19" "2016-01-20" 1658.95108695652 0.3 -4.5 6.7 0 0
"20" "2016-01-21" 1777.53530377668 3.1 -2.4 8 0 1
"21" "2016-01-22" 1764.96518987342 7.6 3.3 10.8 0 1
"22" "2016-01-23" 1871.0539083558 7.2 4.2 11 2.5 1
"23" "2016-01-24" 1899.57455540356 12 7.8 14.9 1 1
"24" "2016-01-25" 1562.07061068702 11.2 8.1 13.5 0 2
"25" "2016-01-26" 1684.07090909091 9.1 5.6 11.4 0 2
"26" "2016-01-27" 1672.02608695652 11.5 7.8 13.3 3.8 2
"27" "2016-01-28" 1793.64110929853 6.3 2.3 9.6 2.3 2
"28" "2016-01-29" 1919.11337209302 11.2 7.5 12.2 0 2
"29" "2016-01-30" 1974.75064599483 7.7 5.2 10.9 5.6 2
"30" "2016-01-31" 1886.06464379947 9.1 3.9 13.4 0 2
"31" "2016-02-01" 1542.70986460348 12.3 9.6 13.9 1.3 2
"32" "2016-02-02" 1622.0632183908 8.3 4.8 10 0 2
"33" "2016-02-03" 1703.359375 5.4 2.1 9.1 0.3 1
"34" "2016-02-04" 1843.35439137134 9.7 3.3 14 0 2
"35" "2016-02-05" 1851.51445966514 10.3 8.9 11.5 0 2
"36" "2016-02-06" 1960.45526315789 10.3 7.4 12.6 1.3 2
"37" "2016-02-07" 1879.3530183727 7.3 5 10.5 6.9 2
"38" "2016-02-08" 1629.41048824593 7.9 6.3 9.6 14.5 2
"39" "2016-02-09" 1656.41404805915 5.3 2.3 8.2 1.8 2
"40" "2016-02-10" 1741.02479338843 5.7 3.3 8.3 0.5 1
"41" "2016-02-11" 1834.5365474339 3.2 -1.1 8.4 0.5 0
"42" "2016-02-12" 1898.16161616162 3.7 0.5 6.2 0.3 1
"43" "2016-02-13" 2122.7656641604 3.8 2.7 4.9 0 1
"44" "2016-02-14" 1951.77284263959 3.7 1.8 6.5 4.1 1
"45" "2016-02-15" 1589.92830882353 2.6 NA NA 0 1
"46" "2016-02-16" 1617.96588868941 2.5 -3.3 7.4 0 1
"47" "2016-02-17" 1778.16390728477 4.2 0.5 6.4 0 1
"48" "2016-02-18" 1788.3112164297 4.1 1 8 8.9 1
"49" "2016-02-19" 1891.20058139535 5.1 -1.3 10.5 0.3 1
"50" "2016-02-20" 1938.02328589909 10.8 7.4 12 0.3 2
"51" "2016-02-21" 1883.80291005291 12.8 11.2 14.4 2.3 2
"52" "2016-02-22" 1617.09090909091 8.7 5.5 11.8 1.5 1
"53" "2016-02-23" 1741.60390763766 5.8 2.1 9 0.8 0
"54" "2016-02-24" 1755.3756432247 3.5 -1.7 7.7 0 0
"55" "2016-02-25" 1847.25820895522 2.1 -1.8 6 0 0
"56" "2016-02-26" 1902.33478893741 3.9 0.2 7.8 0 1
"57" "2016-02-27" 1961.42857142857 4.6 3 6.1 0 1
"58" "2016-02-28" 1893.17254901961 4.8 2.6 7.6 0 1
"59" "2016-02-29" 1586.93996247655 4.8 0.6 9.2 0 0
"60" "2016-03-01" 1673.25663716814 8.8 4.5 13.1 0.3 2
"61" "2016-03-02" 1731.597582038 5.6 3.5 7.8 6.4 2
"62" "2016-03-03" 1856.55625 6.3 3.4 8.8 4.1 2
"63" "2016-03-04" 1939.75172413793 5.1 1.5 7.8 2.3 1
"64" "2016-03-05" 1962.07894736842 3 -0.6 6.3 0 1
"65" "2016-03-06" 2014.2023653088 3.8 0.6 6.2 0.5 1
"66" "2016-03-07" 1537.26494023904 4.2 0.3 7.7 0 1
"67" "2016-03-08" 1743.61672473868 3.8 -1.3 8.6 0 1
"68" "2016-03-09" 1750.51063829787 7.9 6.1 10.7 11.7 1
"69" "2016-03-10" 1815.1442155309 6.5 4.7 9 9.4 0
"70" "2016-03-11" 1848.67438494935 4.9 -0.2 11.3 0.3 0
"71" "2016-03-12" 1919.34980494148 6.2 2.8 10.8 0 0
"72" "2016-03-13" 1861.61620185923 5.9 3 11.2 0 1
"73" "2016-03-14" 1568.74476190476 6.7 3.6 11.5 0 1
"74" "2016-03-15" 1722.25899280576 6.1 2 8.9 0 1
"75" "2016-03-16" 1702.80944055944 7.3 6 9.5 0 1
"76" "2016-03-17" 1898.19457735247 6.6 1.8 11.6 0 1
"77" "2016-03-18" 1841.08575581395 5.1 1.5 7.6 0 1
"78" "2016-03-19" 1874.66578249337 6.8 5.8 8.7 0 1
"79" "2016-03-20" 1778.10990502035 7.4 5 10.8 0 1
"80" "2016-03-21" 1608.38165137615 8.7 5.6 11.6 0 0
"81" "2016-03-22" 1754.44883303411 7.6 NA NA 0 1
"82" "2016-03-23" 1863.21095008052 8.6 NA NA NA 1
"83" "2016-03-24" 2071.43452380952 8.1 5 11 0 1
"84" "2016-03-25" 1806.07427055703 10.4 7.4 14.5 7.9 1
"85" "2016-03-26" 1718.36637931034 9.4 5.8 13.4 0 2
"86" "2016-03-27" 1729.83582089552 7.9 5.5 11.2 4.3 1
"87" "2016-03-28" 1622.61171032357 8.2 4 12.2 17.8 2
"88" "2016-03-29" 1598.80792079208 7.7 4.4 12.7 3.3 2
"89" "2016-03-30" 1640.37340619308 8.4 4.6 12.5 5.1 1
"90" "2016-03-31" 1701.01877133106 8.4 4.5 11.9 0 0
"91" "2016-04-01" 1810.2037845706 7.7 0.9 12.4 0 1
"92" "2016-04-02" 1902.79323797139 10.2 7.7 14.4 0 1
"93" "2016-04-03" 1808.96486486486 11 7.4 15.5 3.3 1
"94" "2016-04-04" 1520.07374100719 10.4 8.8 12.6 0.5 1
"95" "2016-04-05" 1684.98558558559 10.6 7 15.2 0.3 1
"96" "2016-04-06" 1755.55906821963 8.7 5.4 11.8 0 2
"97" "2016-04-07" 1819.85876623377 7 NA NA 1 1
"98" "2016-04-08" 1834.46607669617 8.7 4.5 13.9 6.6 1
"99" "2016-04-09" 1979.70380078637 7.9 5.3 11 0.5 1
"100" "2016-04-10" 1839.91655450875 7.7 1.4 13.3 1.5 1
"101" "2016-04-11" 1573.99802761341 11.4 8.8 14.3 1.3 1
"102" "2016-04-12" 1679.89483394834 11.7 7.2 17.4 3 1
"103" "2016-04-13" 1737.79966329966 11.3 3.8 17.7 0 0
"104" "2016-04-14" 1951.5325732899 11.9 7.8 16.6 0.5 1
"105" "2016-04-15" 1984.94986072423 10 8.6 13.2 2.5 0
"106" "2016-04-16" 1936.87142857143 6.3 3.9 9.1 16.5 1
"107" "2016-04-17" 1968.75459317585 6.7 0.3 11.5 0.3 0
